Date,Open,High,Low,Close,Adj Close,Volume
3/19/1993,0.491071,0.493304,0.477679,0.479911,0.398998,154100800
3/22/1993,0.477679,0.481027,0.470982,0.475446,0.395285,165200000
3/23/1993,0.475446,0.482143,0.469866,0.470982,0.391574,102536000
3/24/1993,0.470982,0.484375,0.46875,0.479911,0.398998,143068800
3/25/1993,0.479911,0.488839,0.477679,0.488839,0.40642,171046400
3/26/1993,0.488839,0.488839,0.46875,0.475446,0.395285,151760000
3/29/1993,0.466518,0.46875,0.453125,0.455357,0.378583,261710400
3/30/1993,0.456473,0.466518,0.448661,0.466518,0.387863,264051200
3/31/1993,0.46875,0.470982,0.457589,0.459821,0.382295,223036800
4/1/1993,0.457589,0.464286,0.455357,0.462054,0.384151,108203200
4/2/1993,0.450893,0.457589,0.441964,0.447545,0.372088,253792000
4/5/1993,0.446429,0.450893,0.441964,0.446429,0.371161,149172800
4/6/1993,0.446429,0.448661,0.435268,0.435268,0.361881,168369600
4/7/1993,0.4375,0.453125,0.433036,0.450893,0.374872,162848000
4/8/1993,0.446429,0.450893,0.4375,0.444196,0.369304,163430400
4/12/1993,0.441964,0.455357,0.441964,0.446429,0.371161,93049600
4/13/1993,0.450893,0.457589,0.430804,0.433036,0.360026,164483200
4/14/1993,0.430804,0.435268,0.425223,0.435268,0.361881,170060800
4/15/1993,0.430804,0.430804,0.417411,0.421875,0.350746,218702400
4/16/1993,0.430804,0.435268,0.422991,0.429688,0.357242,686795200
4/19/1993,0.433036,0.441964,0.430804,0.433036,0.360026,227864000
4/20/1993,0.435268,0.448661,0.430804,0.446429,0.371161,240049600
4/21/1993,0.448661,0.453125,0.439732,0.44308,0.368376,205273600
4/22/1993,0.439732,0.450893,0.4375,0.446429,0.371161,157673600
4/23/1993,0.444196,0.448661,0.435268,0.439732,0.365593,134142400
4/26/1993,0.439732,0.444196,0.433036,0.4375,0.363737,102804800
4/27/1993,0.435268,0.448661,0.435268,0.448661,0.373016,129673600
4/28/1993,0.444196,0.464286,0.444196,0.458705,0.381367,163240000
4/29/1993,0.459821,0.462054,0.447545,0.453125,0.376728,82443200
4/30/1993,0.453125,0.46875,0.453125,0.457589,0.380439,132339200
5/3/1993,0.457589,0.464286,0.455357,0.46317,0.385079,65184000
5/4/1993,0.466518,0.484375,0.464286,0.476563,0.396214,170822400
5/5/1993,0.473214,0.495536,0.473214,0.486607,0.404565,253064000
5/6/1993,0.486607,0.488839,0.477679,0.479911,0.398998,70459200
5/7/1993,0.477679,0.488839,0.477679,0.488839,0.40642,81894400
5/10/1993,0.491071,0.498884,0.491071,0.491071,0.408276,137928000
